시설명,주소
강남스포츠문화센터,서울특별시 강남구 밤고개로1길 52(수서동)
강남스포츠문화센터수영장,서울특별시 강남구 밤고개로1길 52(수서동)
강남구민회관체육교실,서울특별시 강남구 삼성로 154(대치동)
강남구민체육관,서울특별시 강남구 개포로28길 47(개포동)
대진체육관,서울특별시 강남구 개포로109길 62(개포동)
일원스포츠문화센터,서울특별시 강남구 영동대로 22(일원동)
온조대왕문화체육관,서울특별시 강동구 고덕로 285(고덕동)
고덕어울림수영장,서울특별시 강동구 고덕로 399(고덕동)
강동유소년스포츠센터,서울특별시 강동구 상일로12길 60(상일동)
해공체육문화센터,서울특별시 강동구 천중로18길 61(천호동)
일자산제1체육관,서울특별시 강동구 동남로 660(둔촌동)
일자산제2체육관,서울특별시 강동구 동남로 620(둔촌동)
샘터배드민턴장,서울특별시 강동구 동남로 990(고덕동)
강일테니스장,서울특별시 강동구 강일동 156-7번지 강동대교 하부
명일테니스장,서울특별시 강동구 동남로785(명일동)
강동구민회관,서울특별시 강동구 상암로 168(천호동)
강북문화예술회관,서울특별시 강북구 삼각산로 85(수유동)
강북웰빙스포츠센터,서울특별시 강북구 오현로31길 51(번동)
오동골프클럽,서울특별시 강북구 오현로 117(번동)
강서구민올림픽체육센터,서울특별시 강서구 화곡로 65길62(등촌동)
공항동문화체육센터,서울특별시 강서구 송정로 45(공항동) 공항동주민센터 지하2층
마곡레포츠센터,서울특별시 강서구 양천로 251(마곡동)
마곡실내배드민턴장,서울특별시 강서구 양천로 251(마곡동)
가양레포츠센터,서울특별시 강서구 양천로 61길 101(가양동)
화곡배수지다목적체육관,서울특별시 강서구 화곡본동 산22-80번지
강서다목적체육관,서울특별시 강서구 화곡본동 산22-32번지
염창근린공원다목적체육관,서울특별시 강서구 양천로67길 43(염창동) 염창(증미)산 근린공원
관악구민종합체육센터,서울특별시 관악구 낙성대로 3길 37(봉천동)
신림체육센터,서울특별시 관악구 난곡로 58길 13(신림동)
까치산체육센터,서울특별시 관악구 행운10길 23(봉천동)
조원생활스포츠센터,서울특별시 관악구 조원로 25(신림동) 지하1층
국사봉체육관,서울특별시 관악구 국회단지길 144(봉천동)
미성체육관,서울특별시 관악구 난우16길 37(신림동)
관악구민운동장,서울특별시 관악구 낙성대로 40(봉천동)
관악청소년센터,서울특별시 관악구 신림로23길 17(신림동)
광진문화예술회관,서울특별시 광진구 능동로 76(자양동)
광진구민체육센터,서울특별시 광진구 구천면로 14(광장동)
중곡문화체육센터,서울특별시 광진구 능동로 433(중곡동)
광장동실내배드민턴장,서울특별시 광진구 천호대로140길 40(광장동 577-3)
구로구민체육센터,서울특별시 구로구 고척로45길 39(고척동)
개웅산생활체육관,서울특별시 구로구 개봉로3길 108-20(개봉동)
계남테니스장,서울특별시 구로구 고척 2동 1-3번지 외 1필지
신도림생활체육관,서울특별시 구로구 경인로 67길 149(신도림동)
